DATE,DGS10
2007-12-20,4.04
2007-12-21,4.18
2007-12-24,4.23
2007-12-25,.
2007-12-26,4.30
2007-12-27,4.21
2007-12-28,4.11
2007-12-31,4.04
2008-01-01,.
2008-01-02,3.91
2008-01-03,3.91
2008-01-04,3.88
2008-01-07,3.86
2008-01-08,3.86
2008-01-09,3.82
2008-01-10,3.91
2008-01-11,3.82
2008-01-14,3.81
2008-01-15,3.72
2008-01-16,3.74
2008-01-17,3.66
2008-01-18,3.66
2008-01-21,.
2008-01-22,3.52
2008-01-23,3.51
2008-01-24,3.68
2008-01-25,3.61
2008-01-28,3.61
2008-01-29,3.69
2008-01-30,3.78
2008-01-31,3.67
2008-02-01,3.62
2008-02-04,3.68
2008-02-05,3.61
2008-02-06,3.61
2008-02-07,3.74
2008-02-08,3.64
2008-02-11,3.62
2008-02-12,3.66
2008-02-13,3.70
2008-02-14,3.85
2008-02-15,3.76
2008-02-18,.
2008-02-19,3.89
2008-02-20,3.93
2008-02-21,3.77
2008-02-22,3.79
2008-02-25,3.91
2008-02-26,3.88
2008-02-27,3.85
2008-02-28,3.71
2008-02-29,3.53
2008-03-03,3.54
2008-03-04,3.63
2008-03-05,3.70
2008-03-06,3.62
2008-03-07,3.56
2008-03-10,3.46
2008-03-11,3.60
2008-03-12,3.49
2008-03-13,3.56
2008-03-14,3.44
2008-03-17,3.34
2008-03-18,3.48
2008-03-19,3.38
2008-03-20,3.34
2008-03-21,.
2008-03-24,3.56
2008-03-25,3.51
2008-03-26,3.51
2008-03-27,3.56
2008-03-28,3.47
2008-03-31,3.45
2008-04-01,3.57
2008-04-02,3.60
2008-04-03,3.61
2008-04-04,3.50
2008-04-07,3.57
2008-04-08,3.58
2008-04-09,3.49
2008-04-10,3.55
2008-04-11,3.49
2008-04-14,3.53
2008-04-15,3.60
2008-04-16,3.72
2008-04-17,3.75
2008-04-18,3.77
2008-04-21,3.75
2008-04-22,3.74
2008-04-23,3.77
2008-04-24,3.87
2008-04-25,3.91
2008-04-28,3.86
2008-04-29,3.85
2008-04-30,3.77
2008-05-01,3.78
2008-05-02,3.89
2008-05-05,3.88
2008-05-06,3.93
2008-05-07,3.87
2008-05-08,3.79
2008-05-09,3.77
2008-05-12,3.78
2008-05-13,3.90
2008-05-14,3.92
2008-05-15,3.83
2008-05-16,3.85
2008-05-19,3.83
2008-05-20,3.78
2008-05-21,3.81
2008-05-22,3.92
2008-05-23,3.85
2008-05-26,.
2008-05-27,3.93
2008-05-28,4.03
2008-05-29,4.08
2008-05-30,4.06
2008-06-02,3.98
2008-06-03,3.92
2008-06-04,3.98
2008-06-05,4.06
2008-06-06,3.94
2008-06-09,4.02
2008-06-10,4.11
2008-06-11,4.10
2008-06-12,4.23
2008-06-13,4.27
2008-06-16,4.25
2008-06-17,4.23
2008-06-18,4.16
2008-06-19,4.22
2008-06-20,4.16
2008-06-23,4.19
2008-06-24,4.10
2008-06-25,4.12
2008-06-26,4.07
2008-06-27,3.99
2008-06-30,3.99
2008-07-01,4.01
2008-07-02,3.99
2008-07-03,3.99
2008-07-04,.
2008-07-07,3.95
2008-07-08,3.91
2008-07-09,3.85
2008-07-10,3.83
2008-07-11,3.96
2008-07-14,3.90
2008-07-15,3.87
2008-07-16,3.97
2008-07-17,4.07
2008-07-18,4.11
2008-07-21,4.09
2008-07-22,4.14
2008-07-23,4.16
2008-07-24,4.03
2008-07-25,4.13
2008-07-28,4.06
2008-07-29,4.09
2008-07-30,4.07
2008-07-31,3.99
2008-08-01,3.97
2008-08-04,3.98
2008-08-05,4.04
2008-08-06,4.06
2008-08-07,3.92
2008-08-08,3.94
2008-08-11,3.99
2008-08-12,3.91
2008-08-13,3.94
2008-08-14,3.89
2008-08-15,3.84
2008-08-18,3.82
2008-08-19,3.83
2008-08-20,3.79
2008-08-21,3.84
2008-08-22,3.87
2008-08-25,3.79
2008-08-26,3.79
2008-08-27,3.77
2008-08-28,3.79
2008-08-29,3.83
2008-09-01,.
2008-09-02,3.74
2008-09-03,3.71
2008-09-04,3.64
2008-09-05,3.66
2008-09-08,3.66
2008-09-09,3.62
2008-09-10,3.65
2008-09-11,3.64
2008-09-12,3.74
2008-09-15,3.47
2008-09-16,3.48
2008-09-17,3.41
2008-09-18,3.54
2008-09-19,3.78
2008-09-22,3.83
2008-09-23,3.85
2008-09-24,3.80
2008-09-25,3.88
2008-09-26,3.85
2008-09-29,3.61
2008-09-30,3.85
2008-10-01,3.77
2008-10-02,3.66
2008-10-03,3.63
2008-10-06,3.48
2008-10-07,3.50
2008-10-08,3.72
2008-10-09,3.84
2008-10-10,3.89
2008-10-13,.
2008-10-14,4.08
2008-10-15,4.04
2008-10-16,3.99
2008-10-17,3.98
2008-10-20,3.91
2008-10-21,3.76
2008-10-22,3.65
2008-10-23,3.63
2008-10-24,3.76
2008-10-27,3.79
2008-10-28,3.89
2008-10-29,3.93
2008-10-30,4.00
2008-10-31,4.01
2008-11-03,3.96
2008-11-04,3.81
2008-11-05,3.73
2008-11-06,3.75
2008-11-07,3.83
2008-11-10,3.82
2008-11-11,.
2008-11-12,3.75
2008-11-13,3.84
2008-11-14,3.72
2008-11-17,3.68
2008-11-18,3.53
2008-11-19,3.38
2008-11-20,3.10
2008-11-21,3.20
2008-11-24,3.35
2008-11-25,3.11
2008-11-26,2.99
2008-11-27,.
2008-11-28,2.93
2008-12-01,2.72
2008-12-02,2.68
2008-12-03,2.67
2008-12-04,2.55
2008-12-05,2.67
2008-12-08,2.77
2008-12-09,2.67
2008-12-10,2.69
2008-12-11,2.64
2008-12-12,2.60
2008-12-15,2.53
2008-12-16,2.37
2008-12-17,2.20
2008-12-18,2.08
2008-12-19,2.13
2008-12-22,2.16
2008-12-23,2.18
2008-12-24,2.20
2008-12-25,.
2008-12-26,2.16
2008-12-29,2.13
2008-12-30,2.11
2008-12-31,2.25
2009-01-01,.
2009-01-02,2.46
2009-01-05,2.49
2009-01-06,2.51
2009-01-07,2.52
2009-01-08,2.47
2009-01-09,2.43
2009-01-12,2.34
2009-01-13,2.33
2009-01-14,2.24
2009-01-15,2.23
2009-01-16,2.36
2009-01-19,.
2009-01-20,2.40
2009-01-21,2.56
2009-01-22,2.62
2009-01-23,2.65
2009-01-26,2.70
2009-01-27,2.59
2009-01-28,2.71
2009-01-29,2.87
2009-01-30,2.87
2009-02-02,2.76
2009-02-03,2.89
2009-02-04,2.95
2009-02-05,2.95
2009-02-06,3.05
2009-02-09,3.07
2009-02-10,2.90
2009-02-11,2.78
2009-02-12,2.75
2009-02-13,2.89
2009-02-16,.
2009-02-17,2.64
2009-02-18,2.74
2009-02-19,2.85
2009-02-20,2.78
2009-02-23,2.78
2009-02-24,2.80
2009-02-25,2.95
2009-02-26,2.98
2009-02-27,3.02
2009-03-02,2.91
2009-03-03,2.93
2009-03-04,3.01
2009-03-05,2.83
2009-03-06,2.83
2009-03-09,2.89
2009-03-10,2.99
2009-03-11,2.95
2009-03-12,2.89
2009-03-13,2.89
2009-03-16,2.97
2009-03-17,3.02
2009-03-18,2.51
2009-03-19,2.61
2009-03-20,2.65
2009-03-23,2.68
2009-03-24,2.68
2009-03-25,2.81
2009-03-26,2.76
2009-03-27,2.78
2009-03-30,2.73
2009-03-31,2.71
2009-04-01,2.68
2009-04-02,2.77
2009-04-03,2.91
2009-04-06,2.95
2009-04-07,2.93
2009-04-08,2.86
2009-04-09,2.96
2009-04-10,.
2009-04-13,2.88
2009-04-14,2.80
2009-04-15,2.82
2009-04-16,2.86
2009-04-17,2.98
2009-04-20,2.88
2009-04-21,2.94
2009-04-22,2.98
2009-04-23,2.96
2009-04-24,3.03
2009-04-27,2.95
2009-04-28,3.05
2009-04-29,3.12
2009-04-30,3.16
2009-05-01,3.21
2009-05-04,3.19
2009-05-05,3.20
2009-05-06,3.18
2009-05-07,3.29
2009-05-08,3.29
2009-05-11,3.17
2009-05-12,3.17
2009-05-13,3.11
2009-05-14,3.10
